test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000032	XLOC_000032	PRKCZ	chr1:1981908-2139172	Normal	Disease	OK	24.8069	18.0612	-0.457844	-5.44571	5e-05	8.03331e-05	yes
XLOC_000033	XLOC_000033	SKI	chr1:2160133-2241652	Normal	Disease	OK	18.0732	11.1626	-0.695188	-12.1376	5e-05	8.03331e-05	yes
XLOC_000034	XLOC_000034	RER1	chr1:2323213-2344010	Normal	Disease	OK	90.7732	72.1205	-0.331857	-8.27169	5e-05	8.03331e-05	yes
XLOC_000035	XLOC_000035	PLCH2	chr1:2407753-2436964	Normal	Disease	OK	3.32632	1.30215	-1.35303	-7.96636	5e-05	8.03331e-05	yes
XLOC_000036	XLOC_000036	TNFRSF14	chr1:2487207-2495267	Normal	Disease	OK	52.2878	49.5077	-0.0788215	-1.3002	0.04785	0.0585405	no
XLOC_000037	XLOC_000037	FAM213B	chr1:2517898-2564481	Normal	Disease	OK	27.8007	22.1414	-0.328374	-5.01608	5e-05	8.03331e-05	yes
XLOC_000038	XLOC_000038	ACTRT2	chr1:2938045-2939467	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000039	XLOC_000039	PRDM16	chr1:2985741-3355185	Normal	Disease	NOTEST	0.0987165	0.096671	-0.0302087	0	1	1	no
XLOC_000040	XLOC_000040	MIR4251	chr1:2985741-3355185	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000041	XLOC_000041	ARHGEF16	chr1:3371146-3397677	Normal	Disease	OK	8.02237	7.4776	-0.101453	-0.929582	0.1906	0.21612	no
XLOC_000042	XLOC_000042	TPRG1L	chr1:3541555-3546694	Normal	Disease	OK	39.9393	21.9465	-0.863819	-13.7472	5e-05	8.03331e-05	yes
XLOC_000043	XLOC_000043	TP73	chr1:3569128-3663937	Normal	Disease	OK	2.35605	2.05446	-0.197613	-1.21786	0.06995	0.0838801	no
XLOC_000044	XLOC_000044	CCDC27	chr1:3668964-3688209	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000045	XLOC_000045	LOC388588	chr1:3689351-3692546	Normal	Disease	OK	15.3188	16.6138	0.117082	0.556646	0.42665	0.460305	no
XLOC_000046	XLOC_000046	DFFB	chr1:3773844-3801993	Normal	Disease	OK	1.06221	2.2208	1.06401	4.30171	5e-05	8.03331e-05	yes
XLOC_000047	XLOC_000047	LOC100133612	chr1:3816967-3832011	Normal	Disease	NOTEST	0.0951068	0.107293	0.173939	0	1	1	no
XLOC_000048	XLOC_000048	LOC728716	chr1:4000671-4012643	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000049	XLOC_000049	LOC284661	chr1:4472110-4484744	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000050	XLOC_000050	AJAP1	chr1:4715104-4843851	Normal	Disease	OK	0.898789	0.712189	-0.335723	-0.935254	0.18725	0.212454	no
XLOC_000051	XLOC_000051	MIR4417	chr1:5624130-5624203	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000052	XLOC_000052	KCNAB2	chr1:5922869-6161253	Normal	Disease	OK	2.17874	2.85836	0.391695	2.27492	0.00105	0.00152714	yes
XLOC_000053	XLOC_000053	RNF207	chr1:6266188-6296044	Normal	Disease	OK	1.04803	2.56727	1.29255	6.10151	5e-05	8.03331e-05	yes
XLOC_000054	XLOC_000054	HES3	chr1:6304251-6305638	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000055	XLOC_000055	ESPN	chr1:6484847-6521004	Normal	Disease	OK	1.16945	2.65999	1.18558	5.46041	5e-05	8.03331e-05	yes
XLOC_000056	XLOC_000056	TAS1R1	chr1:6615337-6639817	Normal	Disease	NOTEST	0.0643202	0.0683857	0.0884227	0	1	1	no
XLOC_000057	XLOC_000057	ZBTB48	chr1:6640062-6649340	Normal	Disease	OK	12.8429	11.5011	-0.159195	-1.63119	0.02155	0.0274506	yes
XLOC_000058	XLOC_000058	PHF13	chr1:6673755-6684093	Normal	Disease	OK	9.02976	9.67169	0.0990815	1.12386	0.10995	0.128937	no
XLOC_000059	XLOC_000059	THAP3	chr1:6684924-6761966	Normal	Disease	OK	18.8716	18.8034	-0.00522078	-0.0490013	0.9439	0.950031	no
XLOC_000060	XLOC_000060	CAMTA1	chr1:6845383-7829766	Normal	Disease	OK	104.029	84.2472	-0.304279	-4.35982	5e-05	8.03331e-05	yes
XLOC_000061	XLOC_000061	VAMP3	chr1:7831328-7841492	Normal	Disease	OK	43.2371	35.1223	-0.299883	-5.32366	5e-05	8.03331e-05	yes
XLOC_000062	XLOC_000062	PER3	chr1:7844762-7905237	Normal	Disease	OK	4.54675	5.61888	0.305449	3.34778	5e-05	8.03331e-05	yes
XLOC_000063	XLOC_000063	PARK7	chr1:8021713-8045342	Normal	Disease	OK	577.742	293.755	-0.975811	-28.6539	5e-05	8.03331e-05	yes
XLOC_000064	XLOC_000064	SLC45A1	chr1:8384389-8404227	Normal	Disease	OK	5.22798	3.19243	-0.711602	-4.21061	5e-05	8.03331e-05	yes
XLOC_000065	XLOC_000065	ENO1-AS1	chr1:8921058-8939943	Normal	Disease	OK	1.9828	1.22799	-0.691232	-0.824227	0.2382	0.2663	no
XLOC_000066	XLOC_000066	CA6	chr1:9005921-9035148	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000067	XLOC_000067	H6PD	chr1:9294862-9331394	Normal	Disease	OK	19.3768	14.9028	-0.378749	-9.34694	5e-05	8.03331e-05	yes
XLOC_000068	XLOC_000068	SPSB1	chr1:9352940-9429590	Normal	Disease	OK	10.6039	11.0464	0.0589721	0.66183	0.34915	0.381524	no
XLOC_000069	XLOC_000069	SLC25A33	chr1:9599527-9642831	Normal	Disease	OK	13.8967	13.3848	-0.0541521	-0.450472	0.524	0.556635	no
XLOC_000070	XLOC_000070	TMEM201	chr1:9648931-9674935	Normal	Disease	OK	4.89673	4.92701	0.00889304	0.0746785	0.91785	0.927143	no
XLOC_000071	XLOC_000071	PIK3CD	chr1:9711789-9884550	Normal	Disease	OK	2.11612	1.88341	-0.168074	-1.07466	0.1188	0.138602	no
XLOC_000072	XLOC_000072	NMNAT1	chr1:10003485-10045556	Normal	Disease	OK	5.09793	3.19447	-0.674335	-5.03817	5e-05	8.03331e-05	yes
XLOC_000073	XLOC_000073	RBP7	chr1:10057254-10076078	Normal	Disease	OK	51.167	13.5374	-1.91827	-12.1509	5e-05	8.03331e-05	yes
XLOC_000074	XLOC_000074	UBE4B	chr1:10093040-10241296	Normal	Disease	OK	13.7342	10.5926	-0.374719	-5.68236	5e-05	8.03331e-05	yes
XLOC_000075	XLOC_000075	KIF1B	chr1:10270763-10441661	Normal	Disease	OK	7.36115	8.03483	0.126336	2.0479	0.0026	0.00363556	yes
XLOC_000076	XLOC_000076	PGD	chr1:10459084-10480201	Normal	Disease	OK	59.3774	38.1996	-0.636357	-11.5113	5e-05	8.03331e-05	yes
XLOC_000077	XLOC_000077	APITD1,APITD1-CORT,CORT	chr1:10490158-10512060	Normal	Disease	OK	11.1111	9.42132	-0.238006	-1.64238	0.01795	0.0230951	yes
XLOC_000078	XLOC_000078	PEX14	chr1:10535002-10690815	Normal	Disease	OK	28.5418	14.5562	-0.971437	-11.2379	5e-05	8.03331e-05	yes
XLOC_000079	XLOC_000079	TARDBP	chr1:11072678-11085549	Normal	Disease	OK	26.151	35.311	0.43325	9.59058	5e-05	8.03331e-05	yes
XLOC_000080	XLOC_000080	ANGPTL7	chr1:11166587-11322608	Normal	Disease	OK	0.409033	0.615433	0.589383	1.16007	0.0944	0.111492	no
XLOC_000081	XLOC_000081	UBIAD1	chr1:11333254-11348491	Normal	Disease	OK	14.2276	9.1523	-0.636485	-7.88257	5e-05	8.03331e-05	yes
XLOC_000082	XLOC_000082	PTCHD2	chr1:11539294-11597640	Normal	Disease	NOTEST	0.166601	0.225834	0.438864	0	1	1	no
XLOC_000083	XLOC_000083	FBXO44	chr1:11708417-11723384	Normal	Disease	OK	10.5102	8.8676	-0.245177	-2.47914	0.00045	0.000676161	yes
XLOC_000084	XLOC_000084	FBXO6	chr1:11724149-11734409	Normal	Disease	OK	12.7893	5.05376	-1.33951	-8.43686	5e-05	8.03331e-05	yes
XLOC_000085	XLOC_000085	C1orf187	chr1:11751780-11780336	Normal	Disease	NOTEST	0.317642	0.0796136	-1.99632	0	1	1	no
XLOC_000086	XLOC_000086	AGTRAP	chr1:11796141-11810828	Normal	Disease	OK	267.961	123.924	-1.11257	-26.709	5e-05	8.03331e-05	yes
XLOC_000087	XLOC_000087	CLCN6	chr1:11866206-11907840	Normal	Disease	OK	3.49603	5.57369	0.672917	6.22336	5e-05	8.03331e-05	yes
XLOC_000088	XLOC_000088	PLOD1	chr1:11994723-12035599	Normal	Disease	OK	85.1815	66.5757	-0.355544	-10.4091	5e-05	8.03331e-05	yes
XLOC_000089	XLOC_000089	MFN2	chr1:12040237-12073572	Normal	Disease	OK	27.1855	16.2459	-0.742756	-13.6009	5e-05	8.03331e-05	yes
XLOC_000090	XLOC_000090	MIIP	chr1:12079298-12092106	Normal	Disease	OK	10.2303	9.11385	-0.166719	-1.303	0.0651	0.078361	no
XLOC_000091	XLOC_000091	TNFRSF8	chr1:12123433-12204264	Normal	Disease	NOTEST	0.154331	0.0870861	-0.825518	0	1	1	no
XLOC_000092	XLOC_000092	TNFRSF1B	chr1:12227059-12269277	Normal	Disease	OK	4.1	4.19591	0.0333598	0.0841886	0.84845	0.86381	no
XLOC_000093	XLOC_000093	VPS13D	chr1:12290112-12572098	Normal	Disease	OK	5.10454	4.45819	-0.195323	-3.21489	5e-05	8.03331e-05	yes
XLOC_000094	XLOC_000094	SNORA59A	chr1:12290112-12572098	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000095	XLOC_000095	AADACL4	chr1:12704565-12727097	Normal	Disease	NOTEST	0	0.0909896	inf	0	1	1	no
XLOC_000096	XLOC_000096	AADACL3	chr1:12776117-12788726	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000097	XLOC_000097	C1orf158	chr1:12806162-12821102	Normal	Disease	NOTEST	0.270022	0	-inf	0	1	1	no
XLOC_000098	XLOC_000098	PRAMEF12	chr1:12834983-12838048	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000099	XLOC_000099	PRAMEF1	chr1:12851545-12856777	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000100	XLOC_000100	PRAMEF2	chr1:12916940-12921764	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000101	XLOC_000101	PRAMEF8	chr1:12976449-12980568	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000102	XLOC_000102	PRAMEF22	chr1:13035542-13038381	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000103	XLOC_000103	PRAMEF5	chr1:13359818-13369057	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000104	XLOC_000104	PRAMEF9	chr1:13421175-13428191	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000105	XLOC_000105	PRAMEF16	chr1:13495253-13498259	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000106	XLOC_000106	PRAMEF20,PRAMEF21	chr1:13516065-13526943	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000107	XLOC_000107	PRAMEF9	chr1:13641972-13648988	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000108	XLOC_000108	PRAMEF17	chr1:13716087-13719064	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000109	XLOC_000109	PRAMEF20,PRAMEF21	chr1:13736906-13747803	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000110	XLOC_000110	PDPN	chr1:13910251-13944452	Normal	Disease	OK	9.2331	5.34243	-0.789318	-6.44562	5e-05	8.03331e-05	yes
XLOC_000111	XLOC_000111	PRDM2	chr1:14026734-14151574	Normal	Disease	OK	10.7283	16.2326	0.597477	8.47616	5e-05	8.03331e-05	yes
XLOC_000112	XLOC_000112	KAZN	chr1:14925212-15478960	Normal	Disease	OK	2.35878	1.60518	-0.555308	-2.78083	0.0002	0.000309487	yes
XLOC_000113	XLOC_000113	TMEM51	chr1:15479027-15546974	Normal	Disease	OK	12.8313	7.88576	-0.702348	-5.7712	5e-05	8.03331e-05	yes
XLOC_000114	XLOC_000114	FHAD1	chr1:15573767-15724622	Normal	Disease	NOTEST	0.0797159	0.0385914	-1.04659	0	1	1	no
XLOC_000115	XLOC_000115	EFHD2	chr1:15736390-15756839	Normal	Disease	OK	45.6443	18.5475	-1.29921	-19.9125	5e-05	8.03331e-05	yes
XLOC_000116	XLOC_000116	CTRC	chr1:15764937-15773153	Normal	Disease	NOTEST	0	0.0888302	inf	0	1	1	no
XLOC_000117	XLOC_000117	CELA2A	chr1:15783222-15798586	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000118	XLOC_000118	CELA2B	chr1:15802595-15817895	Normal	Disease	NOTEST	0.152763	0	-inf	0	1	1	no
XLOC_000119	XLOC_000119	DNAJC16	chr1:15853351-15911605	Normal	Disease	OK	6.52147	7.60513	0.221775	2.74668	5e-05	8.03331e-05	yes
XLOC_000120	XLOC_000120	DDI2	chr1:15943952-15988217	Normal	Disease	OK	1.43308	2.75684	0.943899	4.5987	5e-05	8.03331e-05	yes
XLOC_000121	XLOC_000121	PLEKHM2	chr1:16010826-16061264	Normal	Disease	OK	17.3588	10.8684	-0.675521	-9.82724	5e-05	8.03331e-05	yes
XLOC_000122	XLOC_000122	SLC25A34	chr1:16062808-16067884	Normal	Disease	OK	0.484584	0.831599	0.779141	2.04979	0.007	0.00939915	yes
XLOC_000123	XLOC_000123	TMEM82	chr1:16068916-16074477	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000124	XLOC_000124	FBLIM1	chr1:16085254-16113084	Normal	Disease	OK	41.2321	27.527	-0.582919	-10.8449	5e-05	8.03331e-05	yes
XLOC_000125	XLOC_000125	SPEN	chr1:16160709-16266950	Normal	Disease	OK	5.88079	8.03356	0.450031	7.628	5e-05	8.03331e-05	yes
XLOC_000126	XLOC_000126	C1orf64	chr1:16330730-16333184	Normal	Disease	OK	7.19958	1.55087	-2.21484	-5.9714	5e-05	8.03331e-05	yes
XLOC_000127	XLOC_000127	CLCNKA	chr1:16348485-16360545	Normal	Disease	NOTEST	0	0.134406	inf	0	1	1	no
XLOC_000128	XLOC_000128	CLCNKB	chr1:16370246-16383803	Normal	Disease	NOTEST	0.201315	0.162252	-0.31122	0	1	1	no
XLOC_000129	XLOC_000129	C1orf144	chr1:16693582-16724640	Normal	Disease	OK	55.6057	29.6941	-0.905056	-19.8377	5e-05	8.03331e-05	yes
XLOC_000130	XLOC_000130	NECAP2	chr1:16767166-16786584	Normal	Disease	OK	25.8034	20.663	-0.320515	-4.10639	5e-05	8.03331e-05	yes
XLOC_000131	XLOC_000131	MIR3675	chr1:16875408-16875482	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000132	XLOC_000132	MST1P2	chr1:16972068-16976915	Normal	Disease	OK	0.502186	1.03064	1.03725	2.66428	0.0006	0.000891159	yes
XLOC_000133	XLOC_000133	MIR3675	chr1:17007749-17007823	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000134	XLOC_000134	CROCC	chr1:17248444-17299474	Normal	Disease	OK	2.30386	3.37303	0.54999	4.60164	5e-05	8.03331e-05	yes
XLOC_000135	XLOC_000135	PADI1	chr1:17531620-17572501	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000136	XLOC_000136	PADI3	chr1:17575592-17610727	Normal	Disease	OK	0.595831	0.042046	-3.82486	-2.99691	0.0167	0.0215458	yes
XLOC_000137	XLOC_000137	PADI4	chr1:17634689-17690495	Normal	Disease	NOTEST	0	0.0911141	inf	0	1	1	no
XLOC_000138	XLOC_000138	PADI6	chr1:17698740-17728195	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000139	XLOC_000139	ARHGEF10L	chr1:17866329-18024370	Normal	Disease	OK	4.91824	4.80222	-0.0344396	-0.305278	0.65795	0.686364	no
XLOC_000140	XLOC_000140	ACTL8	chr1:18081807-18153558	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000141	XLOC_000141	IGSF21	chr1:18434239-18704977	Normal	Disease	OK	1.24204	0.502985	-1.30412	-2.9251	0.00135	0.00194271	yes
XLOC_000142	XLOC_000142	KLHDC7A	chr1:18807423-18812480	Normal	Disease	OK	0.802567	0.246069	-1.70556	-4.56649	5e-05	8.03331e-05	yes
XLOC_000143	XLOC_000143	PAX7	chr1:18957499-19075360	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000144	XLOC_000144	MRTO4	chr1:19578074-19586622	Normal	Disease	OK	28.1506	23.6895	-0.248917	-3.63667	5e-05	8.03331e-05	yes
XLOC_000145	XLOC_000145	PQLC2	chr1:19638739-19655794	Normal	Disease	OK	13.8501	13.3133	-0.0570249	-0.518428	0.4563	0.489936	no
XLOC_000146	XLOC_000146	C1orf151-NBL1,MINOS1,NBL1	chr1:19923470-19984949	Normal	Disease	OK	856.458	246.026	-1.79957	-76.7405	5e-05	8.03331e-05	yes
XLOC_000147	XLOC_000147	HTR6	chr1:19991779-20006055	Normal	Disease	NOTEST	0	0.0351267	inf	0	1	1	no
XLOC_000148	XLOC_000148	OTUD3	chr1:20208887-20239437	Normal	Disease	OK	1.42925	1.78419	0.320005	2.02514	0.0047	0.00642276	yes
XLOC_000149	XLOC_000149	PLA2G5	chr1:20396700-20418394	Normal	Disease	OK	6.75333	3.69813	-0.868805	-4.95659	5e-05	8.03331e-05	yes
XLOC_000150	XLOC_000150	PLA2G2F	chr1:20465822-20476879	Normal	Disease	NOTEST	0.573992	0.0498413	-3.52562	0	1	1	no
XLOC_000151	XLOC_000151	UBXN10	chr1:20512577-20519942	Normal	Disease	OK	1.58528	0.92885	-0.771222	-2.77919	0.0003	0.000457475	yes
XLOC_000152	XLOC_000152	VWA5B1	chr1:20617411-20681387	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000153	XLOC_000153	FAM43B	chr1:20878931-20881513	Normal	Disease	OK	0.350139	0.737732	1.07517	2.24588	0.0038	0.00523907	yes
XLOC_000154	XLOC_000154	CDA	chr1:20915443-20945400	Normal	Disease	OK	2.8389	1.63811	-0.7933	-1.98868	0.00775	0.0103756	yes
XLOC_000155	XLOC_000155	PINK1	chr1:20959947-20978004	Normal	Disease	OK	56.308	27.6591	-1.02559	-19.7402	5e-05	8.03331e-05	yes
XLOC_000156	XLOC_000156	LOC100506801	chr1:21543739-21672034	Normal	Disease	NOTEST	0.23421	0.528719	1.1747	0	1	1	no
XLOC_000157	XLOC_000157	NBPF3	chr1:21766620-21811393	Normal	Disease	OK	0.467916	0.5974	0.352448	0.922879	0.16775	0.191598	no
XLOC_000158	XLOC_000158	ALPL	chr1:21835857-21904905	Normal	Disease	OK	6.26906	3.17354	-0.982157	-5.97231	5e-05	8.03331e-05	yes
XLOC_000159	XLOC_000159	LDLRAD2	chr1:22138757-22263750	Normal	Disease	OK	34.5188	28.6733	-0.267679	-4.94963	5e-05	8.03331e-05	yes
XLOC_000160	XLOC_000160	CELA3B	chr1:22303417-22315847	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000161	XLOC_000161	CELA3A	chr1:22328148-22339035	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000162	XLOC_000162	LINC00339	chr1:22351706-22357715	Normal	Disease	OK	16.9589	17.3076	0.0293581	0.220375	0.75475	0.778369	no
XLOC_000163	XLOC_000163	CDC42	chr1:22379119-22419436	Normal	Disease	OK	177.396	150.32	-0.238939	-6.91222	5e-05	8.03331e-05	yes
XLOC_000164	XLOC_000164	ZBTB40	chr1:22778343-22857650	Normal	Disease	OK	3.45312	5.07163	0.554549	6.37439	5e-05	8.03331e-05	yes
XLOC_000165	XLOC_000165	EPHA8	chr1:22890003-22930087	Normal	Disease	NOTEST	0	0.218664	inf	0	1	1	no
XLOC_000166	XLOC_000166	C1QA	chr1:22963117-22966175	Normal	Disease	OK	38.6318	50.6449	0.390628	4.90544	5e-05	8.03331e-05	yes
XLOC_000167	XLOC_000167	C1QC	chr1:22970117-22974603	Normal	Disease	OK	29.3389	24.0366	-0.28758	-2.87113	5e-05	8.03331e-05	yes
XLOC_000168	XLOC_000168	C1QB	chr1:22979681-22988029	Normal	Disease	OK	44.0313	39.9778	-0.139329	-1.65852	0.0188	0.0241312	yes
XLOC_000169	XLOC_000169	EPHB2	chr1:23037330-23241823	Normal	Disease	OK	0.620361	1.22667	0.983571	3.78348	0.0001	0.000157641	yes
XLOC_000170	XLOC_000170	MIR4684	chr1:23037330-23241823	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000171	XLOC_000171	KDM1A	chr1:23345940-23410184	Normal	Disease	OK	33.5349	27.0828	-0.308284	-5.49251	5e-05	8.03331e-05	yes
XLOC_000172	XLOC_000172	MIR3115	chr1:23345940-23410184	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000173	XLOC_000173	C1orf213	chr1:23685940-23698330	Normal	Disease	OK	3.24587	4.24841	0.388315	1.60885	0.019	0.0243729	yes
XLOC_000174	XLOC_000174	MDS2	chr1:23953823-23967056	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000175	XLOC_000175	RPL11	chr1:24018268-24022915	Normal	Disease	OK	2827.86	4154.31	0.5549	24.6698	5e-05	8.03331e-05	yes
XLOC_000176	XLOC_000176	TCEB3	chr1:24069855-24104787	Normal	Disease	OK	14.55	16.9525	0.220475	3.55644	5e-05	8.03331e-05	yes
XLOC_000177	XLOC_000177	PITHD1	chr1:24104875-24114722	Normal	Disease	OK	67.8214	41.8462	-0.696643	-12.0179	5e-05	8.03331e-05	yes
XLOC_000178	XLOC_000178	LYPLA2	chr1:24117645-24122029	Normal	Disease	OK	49.0609	32.8678	-0.577896	-8.70437	5e-05	8.03331e-05	yes
XLOC_000179	XLOC_000179	MIR378F	chr1:24255559-24255637	Normal	Disease	NOTEST	0	0	0	0	1	1	no
XLOC_000180	XLOC_000180	PNRC2	chr1:24286300-24289949	Normal	Disease	OK	52.2249	63.0787	0.272414	6.17877	5e-05	8.03331e-05	yes
XLOC_000181	XLOC_000181	LOC284632	chr1:24526729-24538180	Normal	Disease	NOTEST	0	0.0761055	inf	0	1	1	no
XLOC_000182	XLOC_000182	GRHL3	chr1:24645811-24741587	Normal	Disease	OK	4.13731	1.10478	-1.90494	-7.58382	5e-05	8.03331e-05	yes
XLOC_000183	XLOC_000183	NIPAL3	chr1:24742244-24799473	Normal	Disease	OK	121.498	37.2228	-1.70668	-59.1394	5e-05	8.03331e-05	yes
XLOC_000184	XLOC_000184	RCAN3	chr1:24822822-24863510	Normal	Disease	OK	48.8779	21.7842	-1.1659	-18.4964	5e-05	8.03331e-05	yes
